Postal Code,Title,Latitude,Longitude,Number of Victim Fatalities,Total Number of Fatalities,Number of Victims Injured,Total Number of Victims,Description,year
OR,Thurston High School                                            ,44.1,-123,4,4,25,29,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.                                                                                                                                                                                                                                                                         ",1998
PA,Ross Township Supervisor Council Meeting                        ,39.8,-79.1,3,3,3,6,"On August 5, 2013, an unemployed 59-year old man went to Ross Township's monthly meeting in Salisbury, Pennsylvania, killing three people and injuring four more. The shooter was later restrained and shot in the leg by civilians at the scene. He had been forced to vacate his property of 20 years and had been living out of his car and in abandoned buildings ever since.                                                                                                                                                                         ",2013
PA,Monroeville Macy's                                              ,40.4,-79.8,0,0,3,3,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.                                                                                                                                                                                                                                                                                                                       ",2015
SC,Oakland Elementary School                                       ,34.2,-82.2,2,2,9,11,"On September 26, 1988, an unemployed 19-year-old man entered the Oakland Elementary School in Greenwood, South Carolina. He was arrested after killing two 8-year-old girls and injuring seven other students and two teachers. He was later found ""guilty but mentally ill.""                                                                                                                                                                                                                                                                             ",1988
SC,Johnston Post Office                                            ,33.8,-81.8,1,1,3,4,"On August 19, 1983, a 55-year-old former postal worker went into the Johnston Post Office in South Carolina three months after he had resigned. He killed the local postmaster and wounded three others. It was the last day at work for the postmaster.                                                                                                                                                                                                                                                                                                  ",1983
TN,Memphis                                                         ,35.1,-90,0,0,5,5,"On Jan. 1, 2015, 25 people were on a party bus that was shot at by people in two vehicles that followed the bus. At least one of these men had been in a verbal argument with one of the bus' passengers at a club where the party bus had stopped just before the shooting.                                                                                                                                                                                                                                                                              ",2015
TN,"Memphis, TN gas station shooting                                ",35.1,-90,0,0,4,4,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2016
TN,"Roadside in Memphis, Tennessee                                  ",35.1,-90,1,1,3,4,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.                                                                                                                                                                                                                                                                                                                                                                     ,2016
TX,Ianni's Club in Dallas                                          ,32.8,-96.8,6,6,1,7,"On June 29, 1984, a 39-year-old man who was rejected by a dance partner at Ianni's Dance Club in Dallas, Texas, left the club and returned with a semiautomatic pistol killing the woman and five other patrons and seriously wounded a seventh person.                                                                                                                                                                                                                                                                                                   ",1984
TX,"Tennessee Colony, Texas                                         ",31.8,-95.8,6,6,0,6,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence.                                                                                                                                                                                                                                      ",2015
TX,Fort Hood                                                       ,31.1,-97.7,3,4,16,19,"On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide.                                                                                                                                                                                                                                                                                                                                                                       ",2014
TX,Homes in Desoto and Dallas                                      ,32.8,-96.8,4,4,4,8,"On August 7, 2013, a 44-year old former special education teacher allegedly went on a murder spree in the Dallas area, killing four people, including his ex-wife and estranged girlfriend, and wounding four others. Once police arrived at the second home, the shooter after running out of ammunition, reportedly pretended he was one of the victims and appeared catatonic.                                                                                                                                                                         ",2013
TX,"Luby's Cafeteria in Killeen, Texas                              ",31.1,-97.7,23,24,20,43,"On October 16, 1991, a 35-year old unemployed seaman drove his truck through a window at Luby's Cafeteria in Killeen, Texas. He then opened fire, killing twenty-three people and wounding twenty before turning the gun on himself.                                                                                                                                                                                                                                                                                                                      ",1991
TX,Fort Hood Army Base                                             ,31.1,-97.8,13,13,32,45,"On November 5, 2009, a 39-year old U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.                                                                                                                                                                                                                                                                                                           ",2009
UT,Weber State University                                          ,41.2,-112,0,1,3,3,"On July 8, 1993, a 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.                                                                                                                                                                                                                                                                                                                  ",1993
VA,"Chesapeake, VA Family Murder Suicide                            ",36.8,-76.3,5,6,0,5,"26-year-old killed his Mother, Father, Grandmother, brother, and sister before killing himself in the home of his Grandmother.                                                                                                                                                                                                                                                                                                                                                                                                                            ",2016
